id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06976,29.04379,Entire home/apt,1764,365,41,2018-11-07,0.28,2,363,0,
220131,Charming Delightful Studio@Centre 4,466302,Demir,,Beyoglu,41.02802,28.97515,Entire home/apt,649,30,83,2020-02-25,0.65,12,274,0,
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05376,28.99876,Private room,859,2,1,2014-10-21,0.01,2,364,0,
27271,Lovely apartment in perfect location,117026,Mutlu,,Beyoglu,41.03254,28.98153,Entire home/apt,816,10,3,2022-01-09,0.03,1,220,1,
34177,PETIT HOUSE,147330,Ercan,,Besiktas,41.06681,29.04035,Entire home/apt,599,10,9,2022-03-03,0.10,1,294,1,
220149,Princess Apartment/Penthouse,182639,Mehmet Ali,,Beyoglu,41.02889,28.97782,Entire home/apt,1289,5,9,2015-04-29,0.07,6,362,0,
28277,Duplex Apartment 11 with Terrace,121607,Alen,,Sisli,41.04672,28.98402,Entire home/apt,959,14,2,2022-01-07,0.19,16,328,2,
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09104,29.0558,Entire home/apt,1839,3,0,,,1,88,0,
222535,Cozy apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03354,29.03339,Entire home/apt,976,3,29,2021-12-05,0.23,4,364,3,
223519,We are in the center of Istanbul!,1162133,Tamer,,Kadikoy,40.97033,29.09902,Private room,721,1,4,2015-12-01,0.03,1,364,0,
29241,"↪ Istanbul, Your second house",125742,Şevki,,Beyoglu,41.04803,28.95227,Private room,736,3,0,,,1,365,0,
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02694,28.97628,Private room,1015,1,0,,,1,365,0,
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.0347,28.97369,Entire home/apt,467,5,39,2021-12-17,0.42,2,186,2,
30697,nice home in popular area,132137,Nan,,Beyoglu,41.03213,28.978,Private room,1631,1,1,2010-06-14,0.01,1,0,0,
224612,My nice flat in Nisantasi/,1169188,Esin,,Sisli,41.05758,28.99082,Private room,650,5,0,,,1,365,0,
546900,Very modern Apartment in Gayrettepe,2689464,Murat,,Besiktas,41.06409,29.00296,Private room,2260,1,0,,,1,365,0,
224910,The Heart of Istanbul,1171112,Marya,,Basaksehir,41.10619,28.73866,Entire home/apt,1626,1,0,,,1,365,0,
226255,Harem/Penthouse,182639,Mehmet Ali,,Beyoglu,41.02698,28.97732,Entire home/apt,962,5,11,2022-01-02,0.09,6,365,1,
35938,Cosy Room in Istanbul Center,154245,Sinan,,Sisli,41.04962,28.99846,Private room,1104,1,0,,,1,365,0,
39221,Central. Safe. Quiet. Clean.,168184,Ozhan,,Fatih,41.01007836568576,28.941240126508546,Entire home/apt,2197,7,3,2018-02-05,0.03,1,365,0,
41753,Emir Apartment / Penthouse,182639,Mehmet Ali,,Beyoglu,41.02907,28.97794,Entire home/apt,1289,5,47,2022-03-27,0.34,6,180,1,
553222,Cozy room in 2br renovated flat,2248444,Pinar,,Beyoglu,41.03806,28.97581,Private room,221,3,25,2022-01-31,0.24,3,293,3,
42246,Room on a Hill - quiet and comfy,184607,Mina,,Besiktas,41.06429,29.03945,Entire home/apt,976,3,45,2016-11-07,0.34,1,96,0,
44429,"Cozy, central, lovely&check out the bathroom!*",194194,Zeyno,,Beyoglu,41.03084,28.97986,Entire home/apt,816,5,24,2021-03-14,0.54,1,192,0,
229498,Cozy studio apartment in Cihangir,1167189,Bilgehan,,Beyoglu,41.02878,28.98111,Entire home/apt,1084,4,114,2021-11-12,0.91,2,181,1,
555588,Historical Istanbul House @ Taksim,2731976,Daniel,,Sisli,41.04358,28.98584,Entire home/apt,931,3,314,2022-03-21,2.67,2,244,20,
